title,date,conference,venue,venue_name,location,latitude,longitude,venue_precision,permalink,award,topic_tags
Distributed Quantum Neural Networks on Distributed Photonic Quantum Computing,2025-08-31,QCE 2025,IEEE International Conference on Quantum Computing and Engineering (QCE 2025),Albuquerque Convention Center,"Albuquerque, NM, USA",35.0844,-106.6504,venue,/talks/2025-08-31-qce-2025-distributed-quantum-neural-networks,Best Paper Award,distributed quantum computing; photonic quantum computing; quantum neural networks
Quantum Machine Learning for UAV Swarm Intrusion Detection,2025-12-08,GLOBECOM 2025,IEEE Global Communications Conference (GLOBECOM 2025),Taipei International Convention Center / Taipei World Trade Center Hall 1,"Taipei, Taiwan",25.0338,121.5605,venue,/talks/2025-12-08-globecom-2025-qml-uav-swarm-intrusion-detection,,quantum machine learning; UAV swarm; intrusion detection
Federated Quantum Kernel Learning for Anomaly Detection in Multivariate IoT Time-Series,2025-12-03,AIoT 2025,IEEE Annual Congress on Artificial Intelligence of Things (AIoT 2025),"Osaka, Japan","Osaka, Japan",34.6937,135.5023,city,/talks/2025-12-03-aiot-2025-federated-quantum-kernel-anomaly-detection,,federated learning; quantum kernels; IoT anomaly detection
Learning to Learn with Quantum Optimization via Quantum Neural Networks,2025-08-31,QCE 2025,IEEE International Conference on Quantum Computing and Engineering (QCE 2025),Albuquerque Convention Center,"Albuquerque, NM, USA",35.0844,-106.6504,venue,/talks/2025-08-31-qce-2025-learning-to-learn-quantum-optimization,,quantum optimization; meta-learning; quantum neural networks
Special-Unitary Parameterization for Trainable Variational Quantum Circuits,2025-11-02,QAI 2025,IEEE International Conference on Quantum Artificial Intelligence (QAI 2025),Congress Center Partenope,"Naples, Italy",40.8297,14.2473,venue,/talks/2025-11-02-qai-2025-special-unitary-parameterization-vqc,,variational quantum circuits; quantum AI; special unitary parameterization
Noise-Aware Detectable Byzantine Agreement for Consensus-Based Distributed Quantum Computing,2025-03-31,QCNC 2025,"International Conference on Quantum Communications, Networking, and Computing (QCNC 2025)","Nara, Japan","Nara, Japan",34.6851,135.8048,city,/talks/2025-03-31-qcnc-2025-noise-aware-detectable-byzantine-agreement,,distributed quantum computing; Byzantine agreement; noise-aware protocols
Resource-Efficient Compilation of Distributed Quantum Circuits for Solving Large-Scale Wireless Communication Network Problems,2025-05-25,ISCAS 2025,IEEE International Symposium on Circuits and Systems (ISCAS 2025),InterContinental London – The O2,"London, UK",51.5029,0.0009,venue,/talks/2025-05-25-iscas-2025-resource-efficient-distributed-quantum-circuit-compilation,,distributed quantum compilation; wireless networks; quantum circuit mapping
Toward Large-Scale Distributed Quantum Long Short-Term Memory with Modular Quantum Computers,2025-05-12,IWCMC 2025,IEEE International Wireless Communications and Mobile Computing Conference (IWCMC 2025),"Marriott Hotel Downtown, Abu Dhabi","Abu Dhabi, UAE",24.4716,54.3717,venue,/talks/2025-05-12-iwcmc-2025-distributed-quantum-lstm,,distributed quantum machine learning; quantum LSTM; modular quantum computing
Quantum-Train-Based Distributed Multi-Agent Reinforcement Learning,2025-03-17,SSCI 2025,IEEE Symposium Series on Computational Intelligence (SSCI 2025),"Trondheim, Norway","Trondheim, Norway",63.4305,10.3951,city,/talks/2025-03-17-ssci-2025-quantum-train-distributed-marl,,quantum reinforcement learning; multi-agent reinforcement learning; quantum train
CompressedMediQ: Hybrid Quantum Machine Learning Pipeline for High-Dimensional Neuroimaging Data,2025-04-06,ICASSP 2025,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP 2025)",Hyderabad International Convention Centre,"Hyderabad, India",17.4722,78.3736,venue,/talks/2025-04-06-icassp-2025-compressed-mediq-neuroimaging,,quantum machine learning; neuroimaging; high-dimensional data
Consensus-Based Distributed Quantum Kernel Learning for Speech Recognition,2025-04-06,ICASSP 2025,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP 2025)",Hyderabad International Convention Centre,"Hyderabad, India",17.4722,78.3736,venue,/talks/2025-04-06-icassp-2025-distributed-quantum-kernel-speech,,quantum kernel learning; speech recognition; distributed learning
Quantum-Enhanced Support Vector Machine for Large-Scale Multi-Class Stellar Classification,2024-08-05,ICIC 2024,International Conference on Intelligent Computing (ICIC 2024),"Tianjin, China","Tianjin, China",39.3434,117.3616,city,/talks/2024-08-05-icic-2024-qsvm-large-scale-stellar-classification,,quantum support vector machine; stellar classification; large-scale machine learning
Quantum-Classical-Quantum Workflow in Quantum-HPC Middleware with GPU Acceleration,2024-07-01,QCNC 2024,"International Conference on Quantum Communications, Networking, and Computing (QCNC 2024)","Kanazawa, Japan","Kanazawa, Japan",36.5613,136.6562,city,/talks/2024-07-01-qcnc-2024-quantum-hpc-middleware-gpu,,quantum-HPC middleware; GPU acceleration; quantum-classical workflow
Noise-Aware Distributed Quantum Approximate Optimization Algorithm on Near-Term Quantum Hardware,2024-09-15,QCE 2024,IEEE International Conference on Quantum Computing and Engineering (QCE 2024),Palais des congrès de Montréal,"Montréal, Québec, Canada",45.5035,-73.5608,venue,/talks/2024-09-15-qce-2024-noise-aware-distributed-qaoa,,distributed QAOA; noise-aware algorithms; near-term quantum hardware
"Short-Depth Circuits and Error Mitigation for Large-Scale GHZ-State Preparation, and Benchmarking on IBM’s 127-Qubit System",2023-09-17,QCE 2023,IEEE International Conference on Quantum Computing and Engineering (QCE 2023),Hyatt Regency Bellevue,"Bellevue, WA, USA",47.6184,-122.2013,venue,/talks/2023-09-17-qce-2023-ghz-error-mitigation-ibm-127-qubit,,GHZ state preparation; error mitigation; IBM quantum hardware benchmarking
